id,tourName,location,price,rating,ratingCount,link,description
34,Melukat Ceremony and Temple Tour at Tirta Empul Temple,Ubud,475057,5.0,17,https://www.booking.com/attractions/id/prdvcyyjnh4y-melukat-ceremony-and-temple-tour-at-tirta-empul-temple.en-gb.html?source=searchresults-product-card&ufi=-2683839,"If you can not make a booking, contact us on WhatsApp at +62 8123 01 023. The official entrance fee for Visit Only is IDR 75,000, available from 8 AM to 6 PM (Pay on Arrival). But let’s be honest — everyone who chooses the Visit Only option ends up disappointed. It doesn’t capture the magic of this experience. BOOK OUR PACKAGE NOW FOR THE ULTIMATE JOURNEY! Embark on a deeply spiritual journey with our Melukat Ceremony and Tirta Empul Tour, where you’ll immerse yourself in ancient Balinese traditions and rituals. Our knowledgeable guide will accompany you every step of the way, ensuring a meaningful and enlightening experience. You’ll be warmly welcomed at the entrance and guided through the serene surroundings to the ritual site. Here, you’ll be provided with traditional Balinese attire known as a Sarong, preparing you for the spiritual journey ahead. Under the guidance of our experienced guide, you’ll participate in the Melukat Ceremony."
35,Secret Comedy Night Bali,Perean,232095,4.5,8,https://www.booking.com/attractions/id/prqyavzubyn3-bali-secret-comedy-night.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Hailed as “Southeast Asia’s best stand-up comedy show,” Secret Comedy Night is Bali’s most consistently running comedy show, with multiple shows happening every week at secret locations across Canggu, Seminyak, Ubud, and Uluwatu. This hilarious 2-man stand-up comedy show features comedians as seen on Netflix, Comedy Central, and Showtime. Secret Comedy Night has become a must-do cultural night out in Bali, often recommended by travelers searching for fun things to do in Bali at night and unique nightlife experiences. At Secret Comedy Night, it’s all about connection. Our comedians engage directly with the audience through laughter, jokes, and playful crowd work, creating an intimate, interactive atmosphere. We offer three unique comedy formats: Curated Comedy Show, Crowd Work Show and Open Mic Night. If you're looking for a night out that's fun, different, and genuinely memorable, Secret Comedy Night is one of the best things to do in Bali at night."
36,Canggu: Drag Show with Dinner,Seminyak,257863,4.9,18,https://www.booking.com/attractions/id/przpeqbitq7y-canggu-drag-show-with-dinner.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Inklusiv Warung is on a mission to empower the Deaf and other minorities through employment opportunity and social impact events. Inklusiv Warung is a flavorful melting pot, a home where we share food, stories, and love for each other. Like a warm embrace, we welcome everyone from all walks of life to be a part of our family. Our drag nights are the best in Canggu, and can be enjoyed while having dinner and drinks. Our Deaf staff will fill the breaks by teaching you some sign language for free! Come and have some fun with us! We serve high quality Western and Indonesian comfort food; there is someone to everyone's liking! Show starts at 8pm (20:00) till end."
37,Nia Balinese Cooking Class,Seminyak,737157,4.9,49,https://www.booking.com/attractions/id/prxcrqm8u2oe-nia-balinese-cooking-class.en-gb.html?source=searchresults-product-card&ufi=-2683839,Experience the traditional Balinese food journey with Nia Balinese Cooking Class and learn how Balinese prepare their dishes. From the traditional Ayam Betutu wrapped in banana leaves with special folding until the popular Nasi Goreng. Join us now
38,"Mount Batur Sunrise Hike, Breakfast & Hot Spring",Ubud,327625,4.5,6,https://www.booking.com/attractions/id/pr0rneegnxud-all-inclusive-mt-batur-sunrise-breakfast-hot-spring.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Escape to an adventurous yet relaxing getaway with our exclusive All Inclusive Mt Batur sunrise hike, breakfast & hot spring. This package perfect for you who want witness a breathtaking sunrise and panoramic views of Mt Batur. After the hike, unwind at the natural hot springs by Lake Batur, soaking in the therapeutic, mineral-rich waters"
39,Bali Instagram Tour: The Most Scenic Spots,Seminyak,1307225,4.8,48,https://www.booking.com/attractions/id/prnezont699f-bali-instagram-tour-the-most-scenic-spots.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Visit the most iconic and picturesque sites around the island and snap some Instagram-worthy pictures Immerse yourself in the beauty of nature and learn about Balinese culture from your guide Visit a waterfall, temple, water palace, rice field and end your journey on a swing in a jungle"
40,All Inclusive Ubud Private Day Tour,Ubud,1011215,5.0,11,https://www.booking.com/attractions/id/prwd3wlsqpui-bali-tour-all-inclusive-ubud-private-day-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Many of Ubud’s signature sights are outside the center, making private transportation essential. Pack cultural and natural highlights into just one day on this convenient tour, with transfers from Ubud and much of south Bali. You’ll see Ubud Monkey Forest, Jungle Swing, Holy Water Temple, Tegenungan Waterfall, and Tegalalang Rice Terrace, with time to explore the town center independently, plus a stop at the art village of your choice."
41,Ubud Cooking Class with Optional Market Visit Pickup Included,Ubud,331186,4.6,18,https://www.booking.com/attractions/id/prpadbtbtdh7-ubud-cooking-class-with-optional-market-visit-pickup-included.en-gb.html?source=searchresults-product-card&ufi=-2683839,"What sets our Ubud Cooking Class apart is the authentic and immersive experience it offers, allowing travelers to not only learn the secrets of Balinese cuisine but also to deeply connect with the local culture. Unlike generic cooking classes, we prioritize a hands-on approach that takes you beyond the kitchen and into the heart of Ubud's bustling markets, where you'll engage with local vendors, select fresh ingredients, and gain insight into the vibrant culinary traditions of Bali. Our expert local chefs guide you through every step, sharing age-old techniques and family recipes passed down through generations. Moreover, our intimate class sizes ensure personalized attention, fostering a supportive and interactive environment where you can ask questions, experiment with flavors, and truly immerse yourself in the Balinese culinary heritage."
42,"Bali ATV Quad Bike Through Tunnel, Waterfall, White Water Rafting",Ubud,556963,4.9,96,https://www.booking.com/attractions/id/prgpxwwjvcab-bali-atv-quad-bike-through-tunnel-waterfall-white-water-rafting.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Get amazed, experience the greatest Jungle ATV Ride or Quad Biking track in Ubud. Located in a rural stunning county side, ride through rice fields, jungle, river, waterfall, muddy, up and down hill, valley, tunnel, wet track fun attraction, take photo selfie in a beautiful panorama with emerald green nature will be an unforgettable moment during your holiday in Bali. An impressive experience trace the Ayung River will be started from start point to get the short training from well trained and experience guide. Movement raw the safe and high quality rubber boat and also led by professional guide which have experienced to pass the attractive and challenge rapids with full of fun. Your adventure in the water will end at the finish point and enjoy the buffet lunch"
43,Full Day Land and Sea Tour to Nusa Penida with 4 Snorkeling Spots,Kuta,1538460,4.9,41,https://www.booking.com/attractions/id/prfgkjpohfpa-full-day-land-and-sea-tour-to-nusa-penida-with-4-snorkeling-spots.en-gb.html?source=searchresults-product-card&ufi=-2683839,"A mix of land and sea, this itinerary is ideal for discovering the highlights of Nusa Penida in a one-day trip aboard our private fast boat. Your adventure begins with 2 morning snorkeling sessions at Mangrove Point and SD Point, where you'll drift over vibrant coral reefs and may even spot some turtles. Next, head inland for a bumpy drive to the island’s most iconic viewpoint: Kelingking Cliff. Take in the breathtaking landscape and snap unforgettable photos. Afterward, lunch will be served at a lovely restaurant on the island. The perfect place to relax, enjoy an infinity pool, and take in breathtaking views of Mount Agung. In the afternoon, it's back to the ocean for two more snorkeling sessions at Wall Bay and Manta Bay or Manta Point (depending on conditions), where you may have the chance to swim with majestic manta rays—the highlight of the day! Finally, we’ll return to Sanur aboard our private fast boat."
44,Ayung River Rafting with Optional Waterfalls Trip,Abeansemal,502942,4.7,163,https://www.booking.com/attractions/id/pr7tngepj8si-ayung-river-rafting-with-optional-waterfalls-trip.en-gb.html?source=searchresults-product-card&ufi=-2683839,"On this tour, you'll have the chance to go rafting on the waters of the Ayung River. During the ride, you'll get to see rainforests, waterfalls and scenic gorges around the river. The tour also allows you to go on a short trip to explore the Kanto Lampo and Tibumana Waterfalls. Additionally, you'll have the opportunity to feast on an authentic Indonesian buffet lunch."
45,Admission to Devdan Show,Tanjung Benoa,260960,4.9,107,https://www.booking.com/attractions/id/pr28dnwsuyi1-admission-to-devdan-show.en-gb.html?source=searchresults-product-card&ufi=-2683839,"With this ticket, you'll be able to attend the Devdan Show – a 60-minute performance of 'Unity in Diversity' that spotlights various acts from Indonesian cultures spread across Bali, Sumatra, Java, Papua, Kalimantan and more. During the show, you'll have the chance to witness performances that include modern acrobatics, special effects, dances, traditional costumes and songs inspired by Indonesian folklore and culture."
